Accession	DSS3_ac_a	DSS3_ac_b	DSS3_ac_c	DSS3_glc_ac_19_a	DSS3_glc_ac_19_b	DSS3_glc_ac_19_c	DSS3_glc_ac_34_a	DSS3_glc_ac_34_b	DSS3_glc_ac_34_c	DSS3_glc_a	DSS3_glc_b	DSS3_glc_c
SPO1786				1.66418E-06		1.66418E-06			6.65671E-06			
SPO1788	0.00086903	0.00135786	0.002789648	0.000603493	0.001544943	0.002661405	0.002294783	0.002065456	0.002789648	0.004783958	0.000608576	0.00057642
SPO1792	9.27923E-05	6.81739E-05	0.000121198	9.27923E-05	4.7343E-05	3.02995E-05	6.81739E-05	4.7343E-05	6.81739E-05	0.00015255	9.0276E-05	3.99113E-05
SPO1794								2.23584E-05				
SPO1795				1.11508E-05	2.78771E-06	1.11508E-05	0.001742319	0.002032241	0.001884492	0.003227951	0.006240669	0.000663159
SPO1796	5.69688E-07		5.69688E-07	1.42422E-05	1.42422E-05	2.27875E-06	0.004927228	0.004512496	0.006161742	0.028215591	0.005329318	0.003313157
SPO1800	0.000143007	0.000338477	0.000165854	0.000216625	0.000338477	0.000121852	0.000121852	1.35391E-05	0.000143007	0.000134274	3.08527E-05	7.8983E-05
SPO1802	3.0092E-05	0.000188075	0.000270828	0.000270828	0.000120368	6.7707E-05	0.000120368	0.000120368	0.000188075	3.08527E-05	5.49179E-05	9.76318E-05
SPO1803	0.000972342	0.001798444	0.001694209	0.001051685	0.001219706	0.001219706	0.002489196	0.004046499	0.002615212	0.001811545	0.005491789	0.005131772
SPO1804			9.34773E-06	2.10324E-05	2.33693E-06	3.73909E-05	2.10324E-05	9.34773E-06	2.10324E-05	7.8905E-05	0.00015255	9.76318E-05
SPO1805	0.000169244	0.000221053	0.000169244	5.52633E-05	5.52633E-05	5.52633E-05	8.63489E-05	5.52633E-05	0.000221053	3.97596E-05	3.08527E-05	3.35684E-05
SPO1806		1.32332E-05	3.30831E-06	1.32332E-05	2.97748E-05		1.32332E-05	1.32332E-05	1.32332E-05			
